,salary,education,description,title,skills,experience,employment_type
759,,Bachelor's Degree,"Job Description
Work from Home role with our award-winning, Financial Services, custom research team.

Senior Analysts are assigned to work in project teams with colleagues to design sound research, distill the story and deliver insights. Senior Analysts independently maintain data integrity, use a variety of analytic techniques to understand data and relay the implications of the results to the project team and/or client directly. This position is responsible for ensuring that project deliverables address client objectives and accurately present findings in a clear, concise, and compelling manner. Senior Analysts should be equally capable of analyzing both quantitative and qualitative results.

Responsibilities:

Support the proposal/sales process by working with project teams to develop an analytical approach to the client problem and write portions of proposals.
Provide input regarding the study design and the best research technique(s) to utilize for projects.
Develop surveys/questionnaires to answer client objectives.
Confirm data integrity and perform analysis to identify trends.
Continuously monitor quality levels, and manage quality problems.
Design research instruments as necessary.
Ensure quality of and approve programmed questionnaires, including communication with the programmer or programming vendor.
Analyze research results and collaborate with Client Management team member to interpret research findings and implications.
Write reports or prepare deliverables that adds value to the client by relating the research findings to the business objectives in a manner that is clear, presentable and actionable.


Job Requirements
Qualifications:

Must have a Bachelor degree in a related field. Advanced degree preferred.
Must have minimum of 3 years experience in business, market analysis, or market research. (5 years or more preferred.)
Prior experience supporting market research projects in the industry preferred, but not required.
Must have academic and/or practical experience with a wide array of survey or market research methodologies.
Must have ability to recommend research methodologies that address client needs and adhere to budget expectations.
Must have above average communication skills, both verbal and written.
Must instill confidence with project team members and client contacts when communicating directly with clients.
Must demonstrate strong analytical skills with experience in statistical modeling and analysis preferred.
Must be able to handle multiple clients and projects simultaneously.
Must be proficient in MS Office (Word, Excel and PowerPoint).
Proficiency in at least 1 data analysis package (SPSS, SAS) required.
Prior experience with qualitative research projects preferred. Prior moderation of focus groups, nice to have.
If participating in qualitative studies, ability to travel domestically or internationally may be required.

Equal Opportunity Employer: All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity, religion, national origin, disability, veteran status, age, marital status, pregnancy, genetic information, or other legally protected status.",Senior Researcher - Financial Services Industry,"Focus Group, Surveys, Questionnaire, Analysis, Research, Market Research, Market Analysis, Management, Data Analysis, Sales Process, SPSS (Statistical Software), Communication, Reports, Microsoft Excel, SAS (Software), Research Methodologies, Qualitative Research, Analytical, Proposal (Business), Microsoft Office, Microsoft Word",At least 3 years experience.,FULL_TIME
760,,4 Year Degree,"Job Description
Grady Health System offers many career paths. Whether you have many years of experience or are in the early stages on your career, you can find a rewarding position at Grady!  
SUMMARY The Clinical Decision Support Analyst functions as the coordinator in the daily operations and maintenance of the Clinical Decision Support department. Participates in workflow design and development; project implementation; documentation; and end user training. This position has delegated responsibility for problem solving, assessing processes and issues, and collaborating with other clinical decision support staff and management leaders to develop solutions and action plans resulting in efficient and functional workflows for end users of GHS’s software applications. Must understand the basic clinical and financial business processes, data quality issues, data use and any other areas of special focus for the data assigned.  The position recommends changes in development, maintenance of system standards to accomplish a consistent implementation of decision support tools across the organization. This analyst will interact with executive management, physicians, department leaders and clinical staff to provide the data and analyses necessary for effective strategic decision making. The Clinical Decision Support department is working to implement leading-edge technology solutions, including electronic medical records and clinical decision support systems in support of the organization’s overalls strategic goals to transform healthcare.QUALIFICATIONS   Equivalent of a Bachelor’s degree in Information Systems, Business, Finance or related field  Four (4) plus years of  product applications support experience  Minimum of five (5) years of experience in healthcare decision support, information systems administration, with at least two (2) years of experience in planning & project management  Familiarity with healthcare terminology and costing methodologies  Familiarity with Enterprise Intelligence products such as Business Insight, Performance Benchmarks, Analytics solutions highly desired  Extensive experience with SQL, Crystal, Access or similar relational databases  Must have strong communication skills, both written and verbal, with demonstrated ability to interact with technical and clinical staff  The ability to work independently and exhibit innovative problem-solving skillsEqual Opportunity Employer-Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity.",Clinical Decision Support Analyst-HEALTHCARE EXPERIENCE REQUIRED!!!,"Management, Finance, Complex Problem Solving, Information Systems, Business Process, Decision Making, Health Care, Operations, Communication, Software Applications, Workflows, Data Quality, Decision Support Systems, Maintenance, Microsoft Access, Creativity, Enhanced Data Rates For GSM Evolution",At least 5 years experience.,FULL_TIME
761,,High School,"Job Description
Calumet Specialty Products Partners, L.P. (NASDAQ: CLMT) is a master limited partnership and a leading independent producer of high-quality, specialty hydrocarbon products in North America. Calumet processes crude oil and other feedstocks into customized lubricating oils, solvents and waxes used in consumer, industrial and automotive products and produces fuel products including gasoline, diesel and jet fuel.    POSITION SUMMARY:The Shipper/Loader is responsible for safely making blends, calculating transfer volumes, transferring materials from and to tank, loading rail cars, trucks and other containers. Shippers also fill, stack and load/unload drums and totes. Additional shipping duties include maintaining shipping areas, inventorying products, inspecting bulk containers, operating forklifts and drum pickers, basic trouble shooting, running maintenance repairs and preparing equipment for maintenance.POSITION RESPONSIBILITIES:Blending products to required specificationsManage daily work schedule, assuring that product is shipped on time with the correct documentationInputting information into the ERP system in a correct and timely mannerProvide leadership and safe practices in all job tasks by maintaining responsibility for safety and environmental complianceMaintaining work areas to the highest degree of cleanliness and to comply with all environmental requirementsInputting information into the ERP system in a correct and timely mannerPOSITION REQUIREMENTS:High School Diploma or equivalentTraining and certification in the safe operation of forklifts and other motorized equipmentStrong computer skills including, but not limited to, Microsoft Outlook, Word and Excel The ability to routinely lift, carry and push items up to 50 lbs. in weight, as well as the ability to sit, stand, walk, and climb stairs and ladders over long periods of timeAbility to wear PPE as needed including, but not limited to, eye/face protection, foot protection, gloves, hearing protection and head protectionAbility to work outside for long periods in adverse weather conditions, high temperature and humidity, rain, cold etc.POSITION PREFERENCES:Experience loading bulk chemicals in trucks, rail cars, and drumsWorking knowledge of ERP systemPOSITION ATTRIBUTES: Strong organizational, interpersonal and communication skills with the ability to effectively communicate with all levels, both internally and externally, written and orallyAbility to work independently without direct supervisionStrong problem-solving skills with the ability to overcome obstacles and make good decisionsStrong self-motivation and the ability to be accountable for achieving long-term and day-to-day goals and tasksEffective time management skills with the ability to manage multiple tasks and responsibilities simultaneously   Salary and benefits commensurate with experience.We are an equal opportunity employer. Minority/Female/Disabled/VeteranExcept where prohibited by state law, all offers of employment are conditioned upon successfully passing a drug test.  Other details   Pay Type Hourly    Apply Now",Shipper/Loader,"Complex Problem Solving, Time Management, Leadership, Scheduling, Computer Literacy, Personal Protective Equipment, Microsoft Excel",No experience required.,FULL_TIME
762,,Associate's Degree,"Job Description
Overview:Since 1925, Dignity Health Mercy General Hospital has been providing a wide range of health, social, and support services with special advocacy for the poor and underserved. The 419-bed facility includes the nationally recognized Dignity Health Heart & Vascular Institute and The Joint Commission-certified Stroke Programs. Mercy General Hospital also houses the first CARF- (Commission on Accreditation of Rehabilitation Facilities) accredited Acute Rehabilitation Unit in the region. Mercy General Hospital's Alex G. Spanos Heart & Vascular Center is a state-of-art, four story addition that provides all cardiac services under one roof: Cardiac Rehabilitation, Cardiac Support Unit and Cardiopulmonary Services. It also includes: 71 private, family-friendly patient rooms, expanded 21-bed cardiac ambulatory procedure area and a highly advanced 20-bed cardiac surgery ICU. Additionally, Mercy General Hospital has achieved Level 4 Epilepsy Center designation. ResponsibilitiesPosition Summary: The Incumbent provides, coordinates and directs care to individuals and families using a holistic approach. The nursing process is used as a structured mechanism for critical thinking and problem solving in providing effective and appropriate care within a safe and confidential environment from admission to discharge. The Incumbent is responsible for collaborating with members of the healthcare team, providing leadership, personal/professional development, and conducting him/herself professionally. May have access to or be required to distribute drugs, needles or syringes from storage locations, (such as large stock supplies, automated dispensing units and other carts) to/within patient care areas or treatment carts as defined by hospital policy/procedure. cath lab# [ Link Removed ] QualificationsCALL REQUIRED Minimum Qualifications:Current and valid California Registered Nurse (RN) licenseMinimum of one (1) year of experience in cardiac catheterization laboratory with demonstrated knowledge of cardiac rhythms, basic 12-lead ECG interpretation and cardiac hemodynamicsCurrent BLS and ACLS certification through the American Heart Association (AHA)Other certifications may be required",RN Cath Lab,"Catheterization Laboratory, Registered Nurse Certified, Advanced Cardiovascular Life Support (ACLS), Basic Life Support, Cath Lab, Leadership, Complex Problem Solving, Critical Thinking, Electrocardiography, Hemodynamics (Fluid Mechanics), Cardiac Catheterization, Nursing Process, Storage (Warehousing)",At least 1 year experience.,FULL_TIME
763,,High School,"Job Description
Req/Job ID: 1004076BREmploying Entity: Transform SR LLCEmployment Category: Regular, Full-timeJob Function: Repair/InstallationStore ID: 28265: IH-Cedar Rapids IAA sign on bonus may apply to qualified candidates!JOB SCOPE: Responsible for basic technical service on all Home Appliance products, including Refrigeration (non-sealed systems), Cooking, Microwaves, Dishwashers, Disposers, Laundry, Water Heaters and Lawn and Garden.JOB SUMMARY:The Preventative Maintenance Technician is responsible for providing technical service on Preventative Maintenance calls, rework and inspection calls, shuttling necessary parts and supplies for service repair completion for Repair Technicians, and performing on-the-job training tasks when working with a Repair Technician on call types.

Job Requirements
JOB DUTIES/RESPONSIBILITIES: Performs Preventative Maintenance Checks in the customer's home. Perform rework and inspection calls in customer s home and retail or warehouse locations. Rides with, or meets, Technician at designated location to assist on service call when assigned.Shuttles and/or installs necessary parts and supplies for service repair completionWorks as a dedicated team member to ensure fast, flexible and expert service to every customerDemonstrates a sense of urgency to meet customer time commitmentsCompletes all Technician training elements successfully within required timeframesMeets key performance metrics and productivity goals as defined by the businessProvides knowledgeable and courteous preventative maintenance serviceLooks continuously for methods to improve business performance and enhance the customer experienceOffers and sells the company s members value added products and/or services during repair calls.Receives truck stock at home If the Company vehicle is retained at the Technician's place of residenceMaintains truck stock inventory within the prescribed Company guidelines and standardsFollows the truck maintenance schedule, and keeps a clean, organized truckAdheres to all Company policies and proceduresPerforms other duties as assigned REQUIRED SKILLS:Ability to physically aid the Service Technician in the handling of appliances or equipment to be repairedAbility to work variable and flexible hours, including required overtime as neededAbility to apply appropriate use of security, maintenance, and safety procedures and equipment to protect Company and customer assets (truck, tools, parts, inventory, safety equipment)Ability to communicate effectively with the Service Technician and customer in a knowledgeable and courteous mannerAbility to read and utilize reports as neededExcellent communication skills, both verbal and written; Ability to read, write and speak EnglishAbility to follow Quality Management System (QMS) process guidelinesMechanical aptitude abilityAbility to convey a positive image of the Company in all actions and behaviorsAbility to constantly lift, carry, push, or pull up to 20 lbs (frequently lift, carry, push or pull 50 lbs; occasionally lift, carry, push or pull 100 lbs)Ability to constantly reach outward, handle and finger objects, stand, walk, and sit Ability to frequently bend, squat, kneel, twist, turn, climb, and crawlAbility to occasionally reach above shoulder and type using a keyboardAbility to frequently drive automatic transmission vehicleAbility to read, write and speak English Ability and/or willingness to offer and sell to the company s members value added products and/or services during repair callsJOB REQUIREMENTS:Valid Driver License for the State of employment18 years of age or olderPREFERRED SKILLS:High school diploma #HomeServices",Preventative Maintenance Technician,"Scheduling, Retailing, Warehousing, Reports, Information Security, Electromagnetic Waves",Up to 1 year experience.,FULL_TIME
764,,4 Year Degree,"Job Description
An Internal Audit Intern works closely under the guidance of more senior audit staff. They will be responsible for the execution of audit work (e.g., audit projects, continuous monitoring, issue validation) and clearly communicating the results to their manager and/or Auditor-in-Charge. Qualifications  Candidates must be working towards a bachelor’s or master’s degree in the following curriculums: Business, Economics, Finance, Accounting, Computer Science, MIS or Business & Technology Management Candidate must write and speak clearly and concisely and communicates in a timely manner. Candidate must have a basic understanding of the financial services industry; seeks to understand and improve their knowledge of coverage areas. Candidate must demonstrate a strong commitment to teamwork by demonstrating a willingness to assist peers and supervisors Candidates must have authorization to work permanently in the US without the need for sponsorship (now or in the future) Candidates must have minimum of a 3.2 GPA to be considered  About our Internship Program DTCC offers 10-week summer internships for university students in several departments and locations around the globe. Internships are an opportunity to contribute to DTCC’s daily operations, while learning more about the company and the financial services and technology industries. As a summer intern, you’ll be aligned as closely as possible to a team that leverages your academic skills and considers your future career aspirations. Upon a successful summer, interns will have the opportunity to be considered for our new graduate program upon obtaining their degree, also known as the EDGE Program. Here's what you can expect as a DTCC intern  Access to senior leaders Workshops for skill-building and career development Participation in employee resource groups Team volunteering with local charities A sense of community  Engage with DTCC this Fall Meet and learn from our colleagues as we host a series of virtual events this Fall. Visit our careers site at  [ Link Removed ]  to learn more and RSVP for our events. Recruitment Timeline  August – September 2020: Engage with us virtually and apply to our jobs September – November 2020: Interview virtually and at one of our office locations December 2020: Receive an offer and accept! January – June 2021: Engage with our colleagues as you close out your school year June 2021: Start the Summer Intern Program   About DTCC  DTCC safeguards the financial markets and helps them run efficiently, in times of prosperity and crisis. We are uniquely positioned at the center of global trading activity, processing over 100 million financial transactions every day, pioneering industry-wide, post-trade solutions and maintaining multiple data and operating centers worldwide. From where we stand, we can anticipate the industry’s needs and we’re working to continually improve the world’s most resilient, secure and efficient market infrastructure. Our employees are driven to deliver innovative technologies that improve efficiency, lower cost and bring stability and certainty to the post-trade lifecycle.  Our work environment favors openness and gives people freedom to do their jobs well, by encouraging diverse opinions and emphasizing teamwork. When you join our team, you’ll have an opportunity to make meaningful contributions at a company that is recognized as a thought leader in both the financial services and technology industries. A DTCC career is more than a good way to earn a living. It’s the chance to make a difference at a company that’s truly one of a kind.",Internal Audit Intern [2021 Internship Program],"Accounting, Management Information Systems, Economics, Finance, Computer Sciences, Learning, Auditing, Hardworking And Dedicated, Team-working, Internal Auditing, Financial Services, Technical Management, Curriculum Development, Communication, Authorization (Computing)",No experience required.,FULL_TIME
765,,Associate's Degree,"Job Description
Description Nurse Manager AdventHealth Carrollwood Location Address: 7171 North Dale Mabry Highway Tampa, Florida 33614 Top Reasons to Work At AdventHealth Carrollwood Family-like cultureTeamwork driven both inter Dept and multidisciplinaryPositive working climate to support a well-balanced work life balance Work Hours/Shift: Full Time  PRINCIPAL DUTIES AND JOB RESPONSIBILITIES: SERVICE Ensures that Unit patient care is provided with clinical competence and in a courteous, professional manner consistent with hospital mission, vision, and values. PEOPLE Develops and maintains Unit standards according to State and National Standards. FINANCE Prepares annual operating budget, reviews financial reports weekly, monthly and takes corrective action as needed. OUTCOMES Ensures Standards are maintained according to State Guidelines GROWTH/LEADERSHIP Works with Hospitals in our service area to promote Unit in community. Qualifications What You Will Need: Incumbents must possess these knowledge, skills and abilities and be able to explain and to demonstrate that she/he can perform the essential functions of the job, with or without reasonable accommodation, using some other combination of skills and abilities. Must have working knowledge of budgets and healthcare finance and leadership capabilities. Has ability to work a varied schedule, to include night and weekend hours, with visibility to all shifts. EDUCATION AND EXPERIENCE REQUIRED: Graduate of an accredited school of nursing BS in NursingTwo years of experience in a Nursing Supervisory capacityTwo years Unit Experience  EDUCATION AND EXPERIENCE PREFERRED: MS in Nursing or Business2 years management with emphasis on operations, clinical compliance, finance and marketing LICENSURE, CERTIFICATION OR REGISTRATION REQUIRED: Active RN Licensure in the State of FloridaBCLS, PALS, ACLS as required for Nursing UnitNIHSS from Know Stroke (NIHSS from American Heart Association will be accepted upon hire, subsequent renewals must be completed through Know Stroke) Job Summary: Responsible for the planning, implementation and management of the assigned Unit. Responsible for compliance with all local, state and federal codes, rules, statutes and regulations pertaining to the operation of the assigned Unit.  Assumes responsibility for the management, administration and operation of this service line. This position is responsible for daily department operations, appropriate training and education and on-going supervision of staff.  In addition, this position is responsible for the planning and implementation of Unit budgets and program priorities. Physician, staff, community hospitals engagement are Priorities.  This facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",Nurse Manager MedSurg Telemetry,"Scheduling, Management, Operations, Administration, Finance, Budgeting, Financial Statements, Corrective And Preventive Actions, Health Care, Laws, Hospitals",At least 2 years experience.,FULL_TIME
766,,4 Year Degree,"Job Description
Ranked as the #1 “Best Place to Work for Professional Services” by Fortune Magazine and named a “Best Staffing Firm to Work For” nine years in a row by SIA, Roth Staffing Companies is one of the largest privately-owned staffing firms in the country.

We are seeking a Business Solutions Manager (BSM) to support our La Jolla, CA Legal Staffing team. You’ll work directly with business clients and job seekers, connecting qualified candidates with great employers. You’ll act as the main contact and the first line of response when issues arise. We’re looking for someone who is passionate about making a positive impact in others’ lives and who approaches challenges with a “let’s do this” attitude.

This role combines sales and recruiting. You will both build rapport with business clients and find qualified candidates to fill open positions.

WHAT THE JOB LOOKS LIKE:
On a typical day, you might:
·       Recruit, screen, and interview job candidates
·       Market these candidates to our business clients
·       Coach candidates through client interviews and provide general support
·       Maintain rapport with both temporary workers (Ambassadors) and clients throughout the length of the assignment
·       Identify prospective clients and market to them via phone, email, and in-person
·       Develop and maintain strong client relationships by finding the best candidate and quickly addressing any issues that arise

Job Requirements
WHO WE ARE LOOKING FOR:
The ideal BSM is a “go-getter” who thrives in a competitive sales environment and is committed to delivering the best customer service experience possible.

Role Requirements:
·       Natural alignment with the company’s culture and core values
·       2+ years’ experience in B2B sales in a professional services environment
·       Bachelor’s degree from an accredited college/university is strongly preferred
·       Strong cold-calling and negotiation skills
·       Knowledge of MS Office suite and Outlook email
·       Excellent written and oral presentation skills and the ability to multi-task and work in a fast-paced environment

·       Valid U.S. state driver’s license 



We are an equal opportunity employer. We want to have the best available people in every job. Therefore, the Company does not discriminate against its employees or applicants because of race, sex, gender identity, color, national origin, age, ancestry, religion, sexual orientation, marital status, disability, medical condition, pregnancy, veteran status, uniformed service, genetic information or characteristics, or any other consideration made unlawful by applicable laws.",Legal Staffing Sales and Recruitment Manager,"Client Rapport, Cold Calling, Recruitment, Customer Service, Business To Business, Coaching And Mentoring, Sales, Professional Services",At least 2 years experience.,FULL_TIME
767,,High School,"Job Description
DCP Midstream is a Fortune 500 natural gas company dedicated to meeting the energy and consumer needs of our society. With a focus on technology and innovation, we safely and reliably operate a strong and diversified portfolio of logistics, marketing, gathering, and processing assets across nine states.  Benefits & Additional Compensation DCP builds connections to enable better lives and is dedicated to supporting our employees with opportunities for internal mobility, continual growth, and ongoing training. We believe all employees contribute to the success of the company and should be able to share in that success, which is why all jobs are eligible for the short-term incentive program with any payouts being subject to individual and company performance. Depending on the position and level, some jobs are also eligible to participate in the long-term incentive programs with any payouts also being subject to performances. We offer a comprehensive benefit program that includes medical, dental, vision, disability, life, a competitive 401(k) match, a retirement contribution, and several other unique benefits offerings. We make health and wellness a priority and offer a generous paid time off policy including parental leave, sick time, and vacation time. Job Summary A Field Technician is responsible for the operation and maintenance of the equipment within their geographic area of responsibility. The role is a generalist position, intended to perform skills related to maintenance, electrical, measurement, and repair tasks. Ability to provide peer mentoring/training as needed. What you will be responsible for  Ability to work autonomously, a flexible schedule, in diverse weather conditions, at remote field locations and be available for callout. Participates and successfully completes training programs, risk management reviews, and safety meetings. Reviews and follows procedures as necessary to ensure compliance of all company and industry standards.  Accurately completes documentation such as; timesheets, MAXIMO work orders, safe job planswork permits and regulatory reports.  Performs and accurately documents regulatory required inspections.  May oversee contractors, providing specialty services (Quality Assurance, Quality Control). Maintains and repairs engines, compressors and associated components, such as compressor valves, spark plugs, cooling and lubrication systems (auxiliary), pumps and associated components, such as amine, glycol, condensate, NGL, mechanical equipment such as block valves, control valves, air compressors, manual valve actuators, and fixed equipment such as filters (all types), strainers, dehydration systems, etc.  Maintains effective customer and landowner relationships.  Conducts routine inspection of equipment and facilities (equipment health, security, AVO- Audio, Visual, Olfactory), operation of liquid handling systems, and operation of dehydration systems Reads and comprehends technical procedures, and / or governmental regulations. Writes technical reports and effectively present information to managers and general plant personnel. Performs other related duties to meet the ongoing needs of the organization 

Job Requirements
Qualifications  High School Diploma or equivalent required. 1- 3 Years Specialized Experience mechanical maintenance Completion of Tech school training program or 1 year of oil and gas operations experience is required; 3 - 5 Years of experience in oil and gas operations preferred Valid Driver%26rsquo;s License and acceptable driving record  Must live/relocate within 35miles of reporting location Strong communication skills, interpersonal skills with ability to build relationships Ability to work independently as well as part of a team Ability to work extended hours, which may include evenings, weekends and holidays Ability to work safely around various types of rotating equipment   Special Demands This job operates in both inside gas plant conditions as well as in outside conditions that include inclement weather, heat and humidity. Noise level may be loud at times. Regularly stoops, squats, kneels and crouches for durations up to 3 minutes. Periodically pulls/pushes doors open to move around the gas plant. Occasionally exerts pulling force of 130 pounds. Frequently may lift and carry objects up to 50 pounds. Occasionally may climb A-frame ladders.  It has been and will continue to be the policy of DCP Midstream not to discriminate against any employee or applicant for employment because of their race, color, religion, national origin, age, sex, sexual orientation, gender identity, gender expression, veteran status, disability, or other legally protected status.",Mechanical Field Tech.,"Scheduling, Valves (Piping), Pumps, Training, Documentation, Control Valves, Oil And Gas, Quality Assurance, Interpersonal Skills, Communication, Quality Management, Incentive Programs, Mentorship, Coaching And Mentoring, Oil and Gas, Information Security, Maintenance",1 to 5 years experience.,FULL_TIME
768,,2 Year Degree,"Job Description
  Opto Electronic Manufacturing Technician  
 Responsible for assembly and testing of laser diode devices. Perform hands-on assembly, tests and data collection for high power laser diodes devices. Responsible for providing support in basic mechanical assembly, electrical component assembly and various test processes. 
  Duties  
   ·     Ability to perform manual die assembly, inspection and testing 
   ·     Maintain high yield at manual die assembly processes 
   ·     Ability to troubleshoot issues to improve yield 
   ·     Notify area Supervisor/Lead of any yield issues 
   ·     Ability to work with engineering staff on new design builds and protocols 
   ·     Ability to perform LIV test on various laser diode assemblies 
   ·     Assist in updating documentation to ensure every production process is documented and controlled 
   ·     Ability to accurately enter data into manufacturing interfaces and Excel spreadsheets 
   ·     Ability to work with small hand tools such as tweezers, vacuum wands, torque and hex drivers 
   ·     Ability to perform inspection using low and high powered microscopes 
   ·     Work with Engineering staff on new design production builds and protocols 
   ·     Obtained/maintain IPC J-STD-001 solder certification 

Job Requirements
Skills/Qualifications
Attention to detail and mechanical dexterity is required. Experience in semiconductor manufacturing environment with precision opto-mechanical alignment is preferred. Familiarity with MS Excel, MS Access, MS Word and PowerPoint desirable. Ability to work independently with minimal supervision. Ability to work in 10,000 class clean room environment wearing bunny suit with face mask, head mask and gloves for entire production shift. Safety glasses required for some operations. Stand or sit at work station for entire production shift.",Opto Mechanical Technician,"Assembling, Testing, Engineering, Manufacturing, Torque (Physics), Microsoft Access, Operations, Soldering, Microsoft Word, Microsoft Excel, Electronic Components, Attention To Detail, Self Motivation, Troubleshooting (Problem Solving), Production Process, Mechanical Assembly, Cleanrooms, Data Collection",At least 2 years experience.,"FULL_TIME, PART_TIME"
769,,Bachelor's Degree,"Job Description
Description  Job Description:Leidos is a Fortune 500™ company aimed at embracing and solving some of the world’s most pressing challenges. Through science and technology,  [ Link Removed ] Our  [ Link Removed ]  offers an array of exciting career opportunities for the best IT, energy, logistics and engineering professionals.Leidos is seeking a Cyber Security SOC Analyst Tier ISOC TIER I ANALYST DAILY ACTIVITIES:Active participant in 24x7 operations of the NOAA SOC and Commerce ESOC. This includes proactively monitoring and providing near-real-time cyber security status and reports to enable timely decision-making for 24/7 operations.Operate with direction to investigate and escalate in accordance with protocols and contractual SLAs as well as NOAA and Commerce procedures.Perform investigative functions involving strong network engineering or Security+-type skills (note: Security+ is not required but is very helpful cert)Participate regularly in SOC working group sessions, to include idea generation for new content rules for security alerting and technology implementations/advancement. Collaborate across organizational lines and develop depth in your desired cyber discipline and/or technologiesFollow documented procedures yet have an eye towards process improvement/effectivityFEATURES OF THE CANDIDATE/JOB:Inquisitive, problem-solving oriented24x7 operations (so 8 or 12 hour rotating shift schedule) so able to support day + night shift, holidays, weekends, etc.Must be US Citizen. Must be able to obtain and maintain security clearance, specifically DoD/Top Secret ClearanceTier 1: 1-3 years of experience with cyber operations.Basic understanding of cyber landscape + typical threat vectors.Desired Qualifications: CEH, Security+ or relevant IT technology certificationDesired Qualifications: Security or relevant IT technology certificationTypically requires BS degree and 0 – 3 years of prior relevant experience or Masters with less than 2 years of prior relevant experience.Clearance Requirements: Fully adjudicated Top SecretDriven by our talented workforce, the Federal Energy, Environment and Commerce Operation builds trust through an array of energy-related IT, environmental science and engineering solutions to meet our customers’ needs.Key Capabilities: Large InfrastructureMission Support [ Link Removed ] Command & ControlMission Applications [ Link Removed ]  [ Link Removed ] Engineering ServicesLeidos is growing! Connect with us on  [ Link Removed ]  and  [ Link Removed ] .We value and support the well-being and mobility of our employees with competitive benefit packages, complementary e-learning training, work-life flexibility, an exciting  [ Link Removed ] , and a diverse, inclusive and ethical work place. In fact, in 2020, Leidos was ranked as one of the “ [ Link Removed ] ” by the Ethisphere Institute for the third consecutive year.External Referral Bonus:EligiblePotential for Telework:NoClearance Level Required:Top SecretTravel:NoScheduled Weekly Hours:40Shift:RotatingRequisition Category:ProfessionalJob Family:Cyber OperationsPay Range:",SOC Analyst Tier I,"Complex Problem Solving, Decision Making, CompTIA Security+, Scheduling, Idea Generation, Network Engineering, Cyber Security, Certified Ethical Hacker, Business Process Improvement, Security Clearance, Information Security",Up to 3 years experience.,FULL_TIME
770,,Other,"Job Description
 Description Position Summary: Penske Truck Leasing seeks highly motivated and qualified applicants to fill the unique position of Hiker (Vehicle Transporter/Truck Driver). This position is responsible for vehicle delivery and returning vehicles to Penske locations and Penske customers. Primarily, this position moves our box trucks up to 26’ and for CDL Class A will include tractors and trailer movement. Position may also provide assistance to the service department to deliver parts and equipment.  This is a casual/on-call part-time truck driving job that is perfect for licensed CDL Class B or CDL Class A drivers seeking supplemental income and looking to work anywhere from 0 to 25 hours a week based on business needs.  3 Openings: Class A preferred, Needs Class B. M-W-TH Tues-Fri-Sat (2 shifts - flexible to other days if need be)  Major Responsibilities: • Follow appropriate safety procedures while driving trucks to destination of Penske location or customer locations • Check vehicles to ensure that mechanical, safety, and emergency equipment is in good working order, report to location manager if any issues are found • Obtain receipts or signatures for delivered goods and collect payment for services when required • Report vehicle defects, accidents, traffic violations, or damage to the vehicles • Other projects and tasks as assigned by supervisor   Qualifications Qualifications: • 2 years of driving experience required • 2 years of a clean DMV motor vehicle record required • CDL Class B license required • CDL Class A license preferred • Ability to read and follow written instructions is required. • Ability to work independently, customer service skills, organizational skills, and a positive attitude are required • Regular, predictable, full attendance is an essential function of the job • Willingness to travel as necessary, work the required schedule, work at the specific location required, complete Penske employment application, submit to a background investigation (to include past employment, education, and criminal history) and drug screening are required.   This position is regulated by the Department of Transportation or designated as safety sensitive by the company, and the ability to work in a constant state of alertness and in a safe manner is required. Associates must have the ability to accept responsibility for their own safety, as well as the safety of others.  Physical Requirements: -The physical and mental demands described here are representative of those that must be met by an associate to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. -The associate must be able to see and hear. Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus. -While performing the duties of this job, the associate will be required to move frequently, stand, walk, and sit. The associate is frequently required to use hands to touch, handle, and feel, and to reach with hands and arms. The associate must be able to regularly lift and/or move up to 50lbs/23kg and occasionally lift and/or move up to 100lbs/45kg. -The associate must be able to legally operate a motor vehicle and safely and frequently enter/exit the vehicle as well as the rear cargo area.   Penske is an Equal Opportunity Employer.  About Penske Truck Leasing Penske Truck Leasing Co., L.P., headquartered in Reading, Pennsylvania, is a partnership of Penske Corporation, Penske Automotive Group and Mitsui & Co., Ltd. A leading global transportation services provider, Penske operates a premier fleet of vehicles and serves its customers from locations in North America, South America, Europe, Australia, and Asia. Penske’s product lines include full-service truck leasing, contract maintenance, commercial and consumer truck rentals, used truck sales, transportation and warehousing management and supply chain management solutions. Visit  [ Link Removed ]  to learn more.",Truck Driver - Hiker/Vehicle Transporter/CDL - Part Time,"Employment Applications, Emergency Handling, Cargos, Scheduling",At least 2 years experience.,PART_TIME
